ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query
1,A25,A23,Block/Force,Single to Single,Block A25 if A23 = 1,Yes,
2,B03r3,B01r3,Block/Force,Single to Single,Block B03r3 if B01r3 not selected,Yes,
3,B05,B01r3,Block/Force,Single to Single,Block B05 if B01r3 not selected,Yes,
4,B12,B01r3,Block/Force,Single to Single,Block B12 if B01r3 not selected,Yes,
5,C01,hQuota,Block/Force,Single to Single,Block C01 if hQuota ≠ Fine Jewelry,Yes,
6,C40,hQuota,Block/Force,Single to Single,Block C40 if hQuota ≠ Fine Jewelry,Yes,
7,C46,C40,Block/Force,Single to Single,Block C46 if C40 ≠ 1,Yes,
8,D15,hQuota,Block/Force,Single to Single,Block D15 if hQuota ≠ Fine Jewelry,Yes,
9,D29,hQuota,Block/Force,Single to Single,Block D29 if hQuota ≠ Fine Jewelry,Yes,
10,D38,hQuota,Block/Force,Single to Single,Block D38 if hQuota ≠ Fine Jewelry,Yes,
11,F07,hQuota,Block/Force,Single to Single,Block F07 if hQuota ≠ Fine Jewelry,Yes,
12,"['B08r1', 'B08r2', 'B08r3', 'B08r4', 'B08r5', 'B08r6', 'B08r98']",B01r3,Block/Force,Single to Multi,Block B08r if B01r3 not quoted,Yes,
13,"['C10r1', 'C10r2', 'C10r3', 'C10r4', 'C10r5', 'C10r6', 'C10r98']",hQuota,Block/Force,Single to Multi,Block C10r if hQuota ≠ Fine Jewelry Buyer,Yes,
14,"['C14r1', 'C14r10', 'C14r11', 'C14r12', 'C14r13', 'C14r14', 'C14r15', 'C14r16', 'C14r2', 'C14r3', 'C14r4', 'C14r5', 'C14r6', 'C14r7', 'C14r8', 'C14r9', 'C14r98']",hQuota,Block/Force,Single to Multi,Block C14r if hQuota ≠ Fine Jewelry Buyer,Yes,
15,"['C20r1', 'C20r10', 'C20r2', 'C20r3', 'C20r4', 'C20r5', 'C20r6', 'C20r7', 'C20r8', 'C20r9', 'C20r98']",hQuota,Block/Force,Single to Multi,Block C20r if hQuota ≠ Fine Jewelry Buyer,Yes,
16,"['C26r1', 'C26r10', 'C26r11', 'C26r12', 'C26r13', 'C26r14', 'C26r2', 'C26r3', 'C26r4', 'C26r5', 'C26r6', 'C26r7', 'C26r8', 'C26r9', 'C26r99']",hQuota,Block/Force,Single to Multi,Block C26r if hQuota ≠ Fine Jewelry Buyer,Yes,
17,"['C28r1', 'C28r10', 'C28r11', 'C28r12', 'C28r13', 'C28r14', 'C28r15', 'C28r16', 'C28r17', 'C28r18', 'C28r19', 'C28r2', 'C28r20', 'C28r21', 'C28r22', 'C28r23', 'C28r24', 'C28r25', 'C28r26', 'C28r3', 'C28r4', 'C28r5', 'C28r6', 'C28r7', 'C28r8', 'C28r9', 'C28r99']",hQuota,Block/Force,Single to Multi,Block C28r if hQuota ≠ Fine Jewelry Buyer,Yes,
18,"['C44r1', 'C44r10', 'C44r11', 'C44r12', 'C44r13', 'C44r14', 'C44r15', 'C44r16', 'C44r2', 'C44r3', 'C44r4', 'C44r5', 'C44r6', 'C44r7', 'C44r8', 'C44r9', 'C44r98']",C40,Block/Force,Single to Multi,Block C44r if C40 ≠ 1,Yes,
