ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query,Status,Rows Impacted,Analysis comment
9,AGENUM,Q2,Recoding,Single to Single,Recoding from birthdate to age - many values for the same recode issue,No,,,,Unreliable data
20,Q3,AGENUM,Recoding,Single to Single,Recoding Age to age groups - many values for the same code issue (value 9999.0 causing the issue),No,,,,Unreliable data
19,GenreAge,"['Q3', 'Q1']",Recoding,Multi to Single,Grouping age groups and gender - issue cause by previous ones,No,,,,Unreliable data
18,Q5,Q4,Block/Force,Single to Single,Answer Q5 if Q4 is Quebec,Yes,,,,
17,Q6,Q4,Block/Force,Single to Single,Answer Q6 if Q4 is Ontario,Yes,,Issue,4,"Block not respected on 4 rows {
""Type"": ""Block Single-to-Single"",
""Description"": ""Block Single-to-Single (Q4 to Q6)"",
""is_valid"": false,
""is_supported"": ""Yes"",
""Dataframe"": [
{
""Q4"": ""Nunavut"",
""Q6"": ""Toronto (postal code starts with M)""
},
{
""Q4"": ""Prince Edward Island"",
""Q6"": ""Eastern (postal code starts with K)""
},
{
""Q4"": ""Prince Edward Island"",
""Q6"": ""Southwestern (postal code starts with N)""
},
{
""Q4"": ""Prince Edward Island"",
""Q6"": ""Southwestern (postal code starts with N)""
}
],
""Detail"": ""Answer  Q6 if Q4 is Ontario"",
""Occurrences_train"": 15,
""Percentage_of_valid_rows"": 99,
""Rows"": [
183,
590,
615,
653
],
""definition"": [
""Q4"",
""Q6"",
""Answer  Q6 if Q4 is Ontario"",
""block"",
""Yes""
]
},"
16,Q7,Q4,Block/Force,Single to Single,Answer Q7 if Q4 is British Columbia,Yes,,,,
15,Q8,Q4,Block/Force,Single to Single,Answer Q8 if Q4 is Alberta,Yes,,,,
14,"['Q13r1', 'Q13r2', 'Q13r3', 'Q13r4', 'Q13r5', 'Q13r6', 'Q13r7', 'Q13r8', 'Q13r96', 'Q13r99']",,MultiSelect,,,,,,,
13,Q13r99,"['Q13r1', 'Q13r2', 'Q13r3', 'Q13r4', 'Q13r5', 'Q13r6', 'Q13r7', 'Q13r8', 'Q13r96', 'Q13r99']",None of the above,,,Yes,,,,
12,Q14,"['Q13r1', 'Q13r2', 'Q13r3', 'Q13r4', 'Q13r5', 'Q13r6', 'Q13r7', 'Q13r8', 'Q13r96', 'Q13r99']",Recoding,Multi to Single,Recode ethnicity  into groups,Yes,,,,
11,Q16,"['Q13r1', 'Q13r2', 'Q13r3', 'Q13r4', 'Q13r5', 'Q13r6', 'Q13r7', 'Q13r8', 'Q13r96', 'Q13r99']",Recoding,Multi to Single,"Recode Yes if Q13r1, r2, r4, r5, r6, r7, or r9 selected - seems like it is not a real recoding",Yes,,,,
10,"['Q21Br1', 'Q21Br2', 'Q21Br3', 'Q21Br4', 'Q21Br5', 'Q21Br6', 'Q21Br7']",,MultiSelect,,,,,,,
21,"['Q22r1', 'Q22r2', 'Q22r3', 'Q22r4', 'Q22r5', 'Q22r6', 'Q22r7', 'Q22r8', 'Q22r9', 'Q22r10', 'Q22r96', 'Q22r97', 'Q22r98']",,MultiSelect,,,,,,,
22,Q22r97,"['Q22r1', 'Q22r2', 'Q22r3', 'Q22r4', 'Q22r5', 'Q22r6', 'Q22r7', 'Q22r8', 'Q22r9', 'Q22r10', 'Q22r96', 'Q22r97', 'Q22r98']",None of the above,,Double Exclusive,No,,Not Implemented,,
23,Q22r98,"['Q22r1', 'Q22r2', 'Q22r3', 'Q22r4', 'Q22r5', 'Q22r6', 'Q22r7', 'Q22r8', 'Q22r9', 'Q22r10', 'Q22r96', 'Q22r97', 'Q22r98']",None of the above,,Double Exclusive,No,,Not Implemented,,
25,"['Q23r1', 'Q23r2', 'Q23r3', 'Q23r4', 'Q23r5', 'Q23r6', 'Q23r7', 'Q23r8', 'Q23r9', 'Q23r10', 'Q23r96']",,MultiSelect,,,,,,,
26,"['Q25r1', 'Q25r2', 'Q25r3', 'Q25r4', 'Q25r5', 'Q25r6', 'Q25r96', 'Q25r97']",,MultiSelect,,,,,,,
27,Q25r97,"['Q25r1', 'Q25r2', 'Q25r3', 'Q25r4', 'Q25r5', 'Q25r6', 'Q25r96', 'Q25r97']",None of the above,,None of the Above,Yes,,,,
28,"['Q25r1', 'Q25r2', 'Q25r3', 'Q25r4', 'Q25r5', 'Q25r6', 'Q25r96', 'Q25r97']",Q24,Block/Force,Single to Multi,"Block Q25 if Q24 is not “Yes, I prefer using bills over coins”",Yes,,,,
36,"['Q26r1', 'Q26r2', 'Q26r3', 'Q26r4', 'Q26r5', 'Q26r96']",,MultiSelect,,,,,,,
29,"['Q26r1', 'Q26r2', 'Q26r3', 'Q26r4', 'Q26r5', 'Q26r96']",Q24,Block/Force,Single to Multi,"Block Q26 if Q24 is not 'Yes, I prefer using coins over bills'",Yes,,,,
30,"['Q30r1', 'Q30r2', 'Q30r3', 'Q30r4', 'Q30r5', 'Q30r6', 'Q30r7', 'Q30r8', 'Q30r9', 'Q30r10', 'Q30r11', 'Q30r12', 'Q30r13', 'Q30r14', 'Q30r15', 'Q30r16']",,MultiSelect,,,,,,,
31,"['Q30r1', 'Q30r2', 'Q30r3', 'Q30r4', 'Q30r5', 'Q30r6', 'Q30r7', 'Q30r8', 'Q30r9', 'Q30r10', 'Q30r11', 'Q30r12', 'Q30r13', 'Q30r14', 'Q30r15', 'Q30r16']",,Count,,"Select up to 3 answers, “No choice” is a no",No,,,,
32,noanswerQ30_r97,"['Q30r1',
 'Q30r2',
 'Q30r3',
 'Q30r4',
 'Q30r5',
 'Q30r6',
 'Q30r7',
 'Q30r8',
 'Q30r9',
 'Q30r10',
 'Q30r11',
 'Q30r12',
 'Q30r13',
 'Q30r14',
 'Q30r15',
 'Q30r16',
 'noanswerQ30_r97',
 'noanswerQ30_r99']",None of the above,,NOTA -  all row is filled with  I don’t know / Prefer not to answer,No,,Issue,41,"NOTA "
33,noanswerQ30_r99,"['Q30r1',
 'Q30r2',
 'Q30r3',
 'Q30r4',
 'Q30r5',
 'Q30r6',
 'Q30r7',
 'Q30r8',
 'Q30r9',
 'Q30r10',
 'Q30r11',
 'Q30r12',
 'Q30r13',
 'Q30r14',
 'Q30r15',
 'Q30r16',
 'noanswerQ30_r97',
 'noanswerQ30_r99']",None of the above,,NOTA -  all row is filled with  I don’t know / Prefer not to answer,No,,,,
34,"['Q35r1', 'Q35r2', 'Q35r3', 'Q35r4', 'Q35r5', 'Q35r6', 'Q35r7', 'Q35r8', 'Q35r9', 'Q35r10', 'Q35r11', 'Q35r12', 'Q35r13', 'Q35r97']",,MultiSelect,,,,,,,
35,Q35r97,"['Q35r1', 'Q35r2', 'Q35r3', 'Q35r4', 'Q35r5', 'Q35r6', 'Q35r7', 'Q35r8', 'Q35r9', 'Q35r10', 'Q35r11', 'Q35r12', 'Q35r13', 'Q35r97']",None of the above,,None of the above - classic,Yes,,,,
37,Q40,Q39,Block/Force,Single to Single,Block Q40 if Q39 is NOT “Coins only” or “A combination of coins and bills”,Yes,,,,
38,Q41,Q39,Block/Force,Single to Single,Block Q41 if Q39 is NOT  “Bills only” or “A combination of coins and bills”,Yes,,,,
39,Q47,Q46,Block/Force,Single to Single,Block Q47 if Q46 is NOT “You are setting money aside to save for future…” or “You are stuck with change from a transaction a…”,Yes,,,,
